descriere,pretAchizitie,pretVanzare,manopera
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",1.57,1.96,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",2.55,3.19,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",4.01,5.01,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",5.50,6.88,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",26.08,32.60,6.00
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",4.53,5.66,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",18.77,23.46,5.00
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",11.90,14.88,2.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",26.08,32.60,6.00
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",126.38,157.98,25.00
"Numere si etichete, pentru bransamente, coloane electrice, circuite telefonice sau cabluri electrice numere pentru bransamente sau coloane electrice",0.20,0.25,0.50
"Încercarea cablurilor de energie electrica, de maximum 1 kV",0.00,0.00,15.00
Montaj pat cabluri,16.00,20.00,8.00
Montaj pat cabluri,10.00,12.50,6.00
"Tub izolant IP, din policlorura de vinil neplastifiata, IPY, montat îngropat sau aparent, având diametrul exterior de ... 13 mm, montat îngropat",0.50,0.63,0.80
"Tub izolant IP, din policlorura de vinil neplastifiata, IPY, montat îngropat sau aparent, având diametrul exterior de ... 25 mm, montat îngropat",0.80,1.00,1.00
"Cleme metalice REZISTENTE LA FOC E90, pentru trasee cabluri RF montate aparent, inclusiv diblu si holsurub RF",1.00,1.25,1.00
"Tub gofrat PEHD 450N, De=50mm",1.20,1.50,1.50
"Tub gofrat PEHD 450N, De=75mm",1.50,1.88,1.70
Etansarea trecerilor de cabluri prin golurile din ziduri sau în canale,20.00,25.00,35.00
Matarea ... golurilor dupa instalatii sau consolidari in pereti cu mortar de ciment-var,135.00,168.75,98.00
"Tablou electric, format panou, dulap, celula sau pupitru, având greutatea ... peste 500 kg.",3929.8","4,912.33",736.85
"Tablou electric, format panou, dulap, celula sau pupitru, având greutatea ... peste 500 kg.",2163.8,2704.75,405.71
"Tablou electric, format panou, dulap, celula sau pupitru, având greutatea ... peste 500 kg.",4338.75,5423.45,813.52
"Conducta de otel, pentru legarea la pamînt sau la nul, a receptoarelor sau aparatelor electrice, montata pe zid de caramida sau beton, conducta fiind banda de otel, laminate la cald, de 25×4 mm",1.80,2.25,4.00
"Conducta de otel, pentru legarea la pamînt sau la nul, a receptoarelor sau aparatelor electrice, montata pe zid de caramida sau beton, conducta fiind ... banda de otel, laminate la cald, de 40x4 mm",2.00,2.50,5.00
"Cutie cu eclisa de legatura, ... pentru centura de împamîntare",30.00,37.50,12.00
"Bara egalizar potential cu suport metalic, si capac polistiren, regleta alama, conecatare pana la 7 conducotri 25mmp si 1 platbanda pana la 30mm, 100 kA",25.00,31.25,25.00
Electrod din teava de otel de doi toli si jumatatepentru legarea la pamant in teren ... foarte tare,40.00,50.00,25.00
Verificarea prizelor de pamant pentru lucrari de instalatii electrice la ... constructii,0.00,0.00,500.00
Dispozitiv amorsare pentru protectie la supratensiuni atmosferice - PDA avand timpul de amorsare AT=60us,1800.00,2250.00,350.00
"Conducta de otel, pentru legarea la pamînt sau la nul, a receptoarelor sau aparatelor electrice, montata pe zid de caramida sau beton, conducta fiind banda de otel, laminate la cald, de 25×4 mm",1.80,2.25,4.00
Suport nylon pt cond. Ø 6-11 mm- 30×2mm - pentru montaj pereti sandwich tip hala,6.00,7.50,2.00
"Protectie pentru conducta de coborîre, pe lungime de 1,80 m,executata din otel cornier cu aripi egale, având dimensiunile 40 X 40 X 4 mm",7.00,8.75,2.00
"Cutie cu eclisa de legatura, ... pentru centura de împamîntare",30.00,37.50,12.00
Instalarea cablurilor de telecomunicatii ... in cladire in tub existent:,600.00,750.00,1500.00
"Tub izolant IP, din policlorura de vinil neplastifiata, IPY, montat îngropat sau aparent, având diametrul exterior de ... 13 mm, montat îngropat",0.50,0.63,0.80
"Sursa alimentare 12V, 2Ah cu acumulatori",200.00,250.00,20.00
Instalarea cablurilor de telecomunicatii ... in cladire in tub existent:,800.00,1000.00,1500.00
"Tub izolant IP, din policlorura de vinil neplastifiata, IPY, montat îngropat sau aparent, având diametrul exterior de ... 13 mm, montat îngropat",0.50,0.63,0.80
"Doze de derivatie sau ramificaie p.cabluri,cond.elec.,mont.ingr.apar.pe dibluri/console, mediu normal",26.00,32.50,10.00
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",0.89,1.11,1.50
Instalarea cablurilor de telecomunicatii ... in cladire in tub existent:,0.60,0.75,1.50
"Tub izolant IP, din policiorura de vinil neplastifiata, IPY, montat îngropat sau aparent, având diametrul exterior de ... 13 mm, montat îngropat",0.50,0.63,0.80
Instalarea cablurilor de telecomunicatii ... in cladire in tub existent:,0.70,0.88,1.50
Instalarea cablurilor de telecomunicatii ... in cladire in tub existent:,1.20,1.50,1.50
"Tub de protectie ignifug, diametru 12 mm inclusiv sistemele de fixare,inbinare si derivatie",0.50,0.63,0.80
"Doze de derivatie sau ramificaie p.cabluri,cond.elec.,mont.ingr.apar.pe dibluri/console, mediu normal",26.00,32.50,10.00
"Intreruptor manual ... unipolar, constructie normala sau impermeabila (flans), montat îngropat",12.00,15.00,10.00
"Comutator unipolar ... pentru scara (cruce sau de capat) constructie normala sau constructie impermeabila (flans), montat îngropat",8.00,10.00,10.00
"Priza ... bipolara, simpla sau dubla, constructie normala sau constructie impermeabila (flans), cu sau fara contact de protectie (nul), montata îngropat",12.00,15.00,10.00
"Corp de iluminat, pentru lampi fluorescente tubulare ... neetans, montat pe dibluri (bolturi) metalice",30.00,37.50,12.00
"Cablu pentru instalatii de locuri de lampa sau priza, avînd sectiunea conductelor pîna la 4 mmp, montat cu scoabe (cleme de prindere) din bachelita pe ... console fixate direct în perete, inclusiv consolele",0.68,0.85,1.50
"Cablu pentru instalatii de locuri de lampa sau priza, avînd sectiunea conductelor pîna la 4 mmp, montat cu scoabe (cleme de prindere) din bachelita pe ... console fixate direct în perete, inclusiv consolele",1.08,1.35,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) din bachelita, direct pe zid, cablul având conducte cu sectiunea ... pîna la 10 mmp, pe dibluri de lemn",5.96,7.45,2.00
"Tablou electric, capsulat, compus din cutii (de bare de singuranta, intermediare, terminale) montate pe schelet metalic , tabloul având ... pîna la 6 cutii",541.80,677.25,101.59
Centrala detectie incendiu adresabila 4-8 bucle,3500.00,4375.00,0.00
Convertor de la serial la Ethernet,250.00,312.50,0.00
Comunicator GSM,200.00,250.00,0.00
"Detector de fum n",26.00,32.50,0.00
Detector multicriterial,28.00,35.00,0.00
Indicator luminos pentru detectoarele din tavanul fals,5.00,6.25,0.00
Buton manual de incendiu de interior - carcasa rosie,28.00,35.00,0.00
Sirena cu flash de interior,110.00,137.50,0.00
Sirena conventionala de exterior cu flash,60.00,75.00,0.00
Modul adresabil,70.00,87.50,0.00
Modul adresabil 8IN,120.00,150.00,0.00
Modul adresabil 2in/1out,90.00,112.50,0.00
Sursa de tensiune 24V/5A EN54-4,200.00,250.00,0.00
Baterie reîncarcabila plumb-acid 7.5Ah/12V,12.00,15.00,0.00
Baterie reîncarcabila plumb-acid 24Ah/12V,25.00,31.25,0.00
