descriere,pretAchizitie,pretVanzare,manopera
Cablu din cupru tip N2XH 5x6mmp,0.71,0.88,0.30
Cablu din cupru tip N2XH 5x10mmp,1.16,1.46,0.39
Cablu din cupru tip N2XH 5x25mmp,3.33,4.16,0.49
Cablu din cupru tip N2XH 3x240+120mmp,17.93,20.61,3.94
Cablu din cupru tip NHXH E90 5x6mmp,1.29,1.61,0.30
Cablu din cupru tip NHXH E90 5x16mmp,2.89,3.61,0.49
Cablu din cupru tip NHXH E90 3x1.5mmp,0.24,0.31,0.24
Cablu din cupru tip NHXH E90 3x2.5mmp,0.28,0.35,0.24
"Intrerupator simplu 10A/230V, montaj ingropat IP20",1.18,1.48,1.97
"Intrerupator dublu 10A/230V, montaj ingropat IP20",1.77,2.22,1.97
"Intrerupator cap scara 10A/230V, montaj ingropat IP20",1.38,1.73,1.97
"Intrerupator simplu 10A/230V, montaj aparent IP44",1.38,1.73,1.97
"Intrerupator cap scara 10A/230V, montaj aparent IP44",1.58,1.97,1.97
"Intrerupator cu revenire 10A/230V, montaj ingropat IP20",1.38,1.73,1.97
"Priza simpla 2P+PE 16A/230V, cu protectie ,montaj ingropat IP 20",1.18,1.48,1.97
"Priza dubla 2P+PE 16A/230V, cu protectie ,montaj ingropat IP 20",1.77,2.22,1.97
"Priza simpla 2P+PE 16A/230V, cu protectie ,montaj aparent IP44",1.18,1.48,1.97
"Priza dubla 2P+PE 16A/230V, cu protectie ,montaj aparent IP44",1.77,2.22,1.97
"Priza trifazata 3P+N 16A/400V, montaj aparent",2.96,3.70,1.97
Priza modulara pentru montaj in doza de pardoseala 230Vca,0.89,1.11,1.58
Doza de pardoseala 12 aparate (24 module) montaj in sapa,26.23,32.79,3.94
Senzor de miscare 12m de tavan (360 gr),6.90,8.63,2.96
"Doza derivatie diferite dimensiune, montate aparent ",0.59,0.74,0.99
Conexiuni in doze de derivatie,0.00,0.00,0.20
Adaptor paratraznet + piesa prindere exterior platbanda,128.19,160.24,25.64
Colier cu strangere 40-60 pt. prindere platbanda pe catarg,0.20,0.25,0.30
Con pentru protectie patrundere apa,21.69,27.12,4.93
Suport platbanda/conductor pe acoperis,0.39,0.49,0.39
Montare platbanda OLZn 40x4 mm ,0.35,0.44,0.79
Montare platbanda OLZn 25x4 mm,0.32,0.39,0.59
"Conductor rotund din OLZn, D=10mm",0.43,0.54,0.39
Electrod impamantare din teava zincata 2 1/2 - 2m,5.92,7.40,3.94
Bara egalizare potential,2.96,3.70,3.94
Piese de separatie,3.35,4.19,2.96
Imbinarea prizei de legare la pamant cu suruburi galvanizate M12x40,0.20,0.25,0.59
Montat conductor MYF 1x16mmp,0.35,0.44,0.24
Verificarea prizei de pamant,0.00,0.00,118.33
Materiale marunte de montaj,19.72,24.65,19.72
"Sapatura in teren - 0,8 m adincime / 0,3 m latime",0.00,0.00,0.00
"Tub de protectie din PVC, LZOH, coturi, mufe, cleme D=16mm",0.10,0.12,0.16
"Tub de protectie din PVC, LZOH, coturi, mufe, cleme D=20mm",0.12,0.15,0.16
"Tub de protectie din PVC, LZOH, coturi, mufe, cleme D=25mm",0.14,0.17,0.20
"Tub de protectie din PVC, LZOH, coturi, mufe, cleme D=32mm",0.18,0.22,0.20
Tub de protectie HDPE D=90mm,0.30,0.37,0.24
"Pat de cablu metalic 60x100, coturi , t-uri materiale de montaj ",1.18,1.48,0.99
"Pat de cablu metalic 60x200, coturi , t-uri materiale de montaj ",1.48,1.85,1.18
"Pat de cablu metalic 60x300, coturi , t-uri materiale de montaj ",1.77,2.22,1.38
Corp de iluminat tip aplica de tavan cu sursa LED de 20W/ IP44/240V/ 50Hz/ 4000K/ montat aparent,5.92,7.40,2.37
Corp de iluminat tip aplica de tavan cu sursa LED de 20W/ IP44/240V/ 50Hz/ 4000K/ cu senzor de miscare inclus montat aparent,9.86,12.33,3.55
Corp de iluminat tip aplica de tavan cu sursa LED de 30W/ IP20/240V/ 50Hz/ 4000K/ montat aparent,6.90,8.63,2.37
Corp de iluminat tip aplica de perete echipat cu sursa LED de 20W/ IP65/240V/ 50Hz/ 4000K/ montat aparent,5.92,7.40,2.37
Corp de iluminat tip aplica de perete echipat cu sursa LED de 2x10W/ IP65/240V/ 50Hz/ 4000K/ montat aparent,6.71,8.38,2.37
Corp de iluminat tip aplica de perete cu sursa LED de 15W/ IP44/240V/ 50Hz/ 4000K/ montat aparent,4.93,6.16,2.37
Corp de iluminat 600x600 cu sursa LED de 40W/ IP20/240V/ 50Hz/ 4000K/ montat aparent,5.92,7.40,2.37
Corp de iluminat echipat cu sursa LED de 40W/ IP20/240V/ 50Hz/ 4000K/ montat aparent,6.90,8.63,2.37
Corp de iluminat echipat cu sursa LED de 20W/ IP20/240V/ 50Hz/ 4000K/ montat aparent,5.92,7.40,2.37
Corp de iluminat echipat cu sursa LED de 40W/ IP65/240V/ 50Hz/ 4000K/ montat aparent,8.28,10.35,2.37
Corp de iluminat echipat cu sursa LED de 20W/ IP65/240V/ 50Hz/ 4000K/ montat aparent,6.90,8.63,2.37
"Corp de iluminat echipat cu sursa LED 40W etans IP65, montaj aparent + kit de emergenta pentru 3 ore",15.78,19.72,3.55
"Corp de iluminat de siguranta de evacuare LED -3W, montat aparent, cu functionare in permanenta, cu acumulator, autonomie 3h, IP65, inclusiv accesorii (EXIT)",5.92,7.40,1.97
